"","species","vir_pos","massmale_kg","massfemale_kg","habitat_forest","habitat_savanna","habitat_shrubland","habitat_grassland","habitat_wetlands","habitat_rocky.areas","habitat_desert","threat_critical","threat_data_deficient","threat_endangered","threat_least_concern","threat_not_evaluated","threat_near_threatened","threat_vulnerable","population_decreasing","ppoulation_increasing","population_stable","locomotion_arboreal","locomotion_both","locomotion_terrestrial","folivore","folivore_frugivore","frugivore","gummivore","insectivore","omnivore","adult_mass_g","brain_mass_g","adult_body_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","det_inv","det_vend","det_vect","det_vunk","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","habitat_breadth_n","aotidae","atelidae","callitrichidae","cebidae","cercopithecidae","cheirogaleidae","daubentoniidae","galagidae","hominidae","hylobatidae","indriidae","lemuridae","lepilemuridae","lorisidae","pitheciidae","tarsiidae","afrotropical","australasian","indomalayan","neotropical","palearctic","realm_multiple","foraging_stratum_arboreal","foraging_stratum_ground","foraging_stratum_scansorial","activity_cycle_diurnal","activity_cycle_multiple","activity_cycle_nocturnal","body_size_ratio","rel_age_fb_days","rel_sexual_maturity_days","postnatal_growth_rate","mass_specific_production","home_range_scaled_km2_g","wos_hits","hfp_avg","species_avg","max_popdens","min_popdens","mean_popdens","mean_temp","max_temp","min_temp","range_temp","mean_prec","max_prec","min_prec","range_prec","ymin","ymax","range_lat","centroid","ecor_n"
"335","Piliocolobus waldroni",0,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,8.68270762989381,4.23451221938533,622.225,11222.2,1473.2,1481.673,NA,1489.2,161.382,1,0.5,660.198,NA,724.935,NA,3725.986,1.20686860743796,4.71838279312971,-0.867500567704723,3.52636052461616,0,0,0,0,20,0,0,80,2,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-2.01965489628863,-2.03045705371629,NA,NA,-9.55020819759853,0.693147180559945,3.43055350294358,130.188766479492,4.92235591271197,4.92961148226408,4.92235591271197,267,321,222,99,2095,6.2841341610708,3.66356164612965,498,5.11264419722222,5.19994655277778,0.0873023555555559,5.156295375,0
"336","Pithecia aequatorialis",0,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.77313580097724,3.6168462512141,705,5438.5,NA,1088.349,NA,1115.974,162.293,1.028,1.078,395.286,NA,173.835,NA,3170.546,0.534151449069487,NA,NA,NA,0,30,0,0,30,10,0,30,3,200,0.693147180559945,199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.58377572135508,NA,NA,NA,NA,3.2188758248682,0.242824346144859,190.867259451059,4.87018256651237,0.173505205708878,2.4022089119589,260.784615384615,325,197,113.892307692308,2890.36153846154,5.8664680569333,4.8283137373023,94.9769230769231,-4.57791726944444,-2.13345131388889,2.44446595555556,-3.35568429166667,1.09861228866811
"337","Pithecia albicans",0,1.09861228866811,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7.9373996958508,3.80763978983478,549.635,8452.652,NA,1241.183,NA,1298.94,161.013,1.019,0.926,452.953,NA,215.475,NA,3285,0.624332864559586,2.11625551480255,NA,1.52605630349505,0,30,0,0,30,10,0,30,3,200,0.693147180559945,199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.87293169103827,NA,NA,NA,NA,1.09861228866811,0.107477350538013,175.46445237083,3.82129523634951,0.0000954552803020927,0.637485185855497,264.66091954023,325,207,107.545977011494,2446.86781609195,5.91350300563827,4.18965474202643,227.64367816092,-5.74360213055556,-2.84278295277778,2.90081917777778,-4.29319254166667,1.38629436111989
"338","Pithecia cazuzai",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.60991670884323,3.59993894481729,411.8,9125,NA,1038.922,NA,1096.325,159.92,1,1.036,385.689,4.79305954708551,157.243,NA,3356.832,0.444685821261446,1.97004511490044,NA,1.48160454092422,0,30,0,0,30,10,0,30,3,100,0.693147180559945,99,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,16.7242065136322,-2.11905422205319,NA,NA,0.061946137722919,NA,0,0.405111177501861,175.182947093043,2.34834616411493,0.126535773726356,0.703433576059988,261.48275862069,321,203,106.379310344828,3124.41379310345,6.02586597382531,5.05624580534831,174.068965517241,-3.281278875,-1.808051625,1.47322725,-2.54466525,0.693147180559945
"339","Pithecia chrysocephala",0,0.641853886172395,0.641853886172395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.54960916515453,3.453726578674,525.72,13206.917,1089.37,775.255,1460,759.2,159.565,1,0.995,383.252,NA,121.872,NA,3539.88,0.273836665629728,1.27172490637675,-3.2188758248682,0.993251773010283,0,30,0,0,30,10,0,30,3,100,0.693147180559945,99,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-2.85623073918226,-2.49514116000195,NA,NA,-10.7684849900227,2.07944154167984,0.626906808194101,176.052244398329,7.50176865207731,0.0020500209288204,3.09600240251669,271.069444444444,337,218,105.430555555556,2289.76851851852,6.04025471127741,3.55534806148941,260.009259259259,-3.325922125,-0.474706558333333,2.85121556666667,-1.90031434166667,1.38629436111989
"340","Pithecia hirsuta",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.60991670884323,3.60821155104648,411.8,9125,NA,1041.934,NA,1098.445,160.097,1,1.035,385.687,4.79305954708551,157.591,NA,3359.632,0.444685821261446,2.2292614285752,NA,0.916290731874155,0,30,0,0,30,10,0,30,3,100,0.693147180559945,99,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,16.7242065136322,-2.11712235615441,NA,NA,0.0618863441536883,NA,1.6094379124341,0.147853476355386,175.733648430811,2.53809457331996,0.00000469771236357158,0.724993233941154,257.575342465753,317,202,105.698630136986,3070.79452054795,5.95064255258773,5.04342511691925,146.260273972603,-4.10073053055556,-0.598715586111111,3.50201494444444,-2.34972305833333,1.09861228866811
"341","Pithecia inusta",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.60991670884323,3.60821155104648,411.8,9125,NA,1044.85,NA,1103.354,160.149,1,1.035,385.626,4.79305954708551,157.675,NA,3357.214,0.444685821261446,2.2292614285752,NA,0.916290731874155,0,30,0,0,30,10,0,30,3,200,0.693147180559945,199,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,16.7242065136322,-2.11266326780529,NA,NA,0.0618863441536883,NA,0,0.785485722276506,196.213331055873,4.90462940602327,0.183684967312087,2.38871343788795,264.766990291262,339,185,141.174757281553,1874.25242718447,5.77765232322266,3.89182029811063,172.543689320388,-10.6275736805556,-5.98566775277778,4.64190592777778,-8.30662071666667,1.09861228866811
"342","Pithecia irrorata",0,0.810930216216329,0.727548607277278,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.60991670884323,3.62298000733702,411.8,9125,NA,1036.178,NA,1092.374,159.654,1,1.036,384.951,4.79305954708551,157.534,NA,3352.822,0.444685821261446,1.97004511490044,NA,1.48160454092422,0,30,0,0,30,10,0,30,3,200,0.693147180559945,199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,16.7242065136322,-2.12266458993995,NA,NA,0.061946137722919,NA,3.09104245335832,1.62620025585157,182.732510375977,2.35789245595247,0.416630939995651,1.34423341474505,256.2,327,170,147.2,1887.6,5.65248918026865,3.29583686600433,249.4,-11.0749982527778,-9.94403591944444,1.13096233333333,-10.5095170861111,0.693147180559945
"343","Pithecia isabela",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.60991670884323,3.60821155104648,411.8,9125,NA,1041.934,NA,1098.445,160.097,1,1.035,385.687,4.79305954708551,157.591,NA,3359.632,0.444685821261446,2.2292614285752,NA,0.916290731874155,0,30,0,0,30,10,0,30,3,100,0.693147180559945,99,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,16.7242065136322,-2.11712235615441,NA,NA,0.0618863441536883,NA,0,0.377764510181572,201.258232116699,1.60767024155754,0.758240426074161,1.11934365551598,266.5,327,206,119,2470,5.61312810638807,4.68213122712422,144.5,-6.049160375,-4.45490031388889,1.59426006111111,-5.25203034444444,0.693147180559945
"344","Pithecia milleri",0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.33791299968067,3.60821155104648,411.8,9125,NA,1036.412,NA,1090.92,159.825,1,1.03,384.897,4.79305954708551,156.651,NA,3349.373,0.444685821261446,2.2292614285752,NA,0.916290731874155,0,30,0,0,30,10,0,30,3,200,0.693147180559945,199,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,12.7413607358913,-2.12399652252893,NA,NA,0.0808390894308943,NA,0,0.793556827125643,179.320171780056,1.68005008270384,0.437108372665828,0.738602405733076,258.666666666667,319,203,111.888888888889,2887.55555555556,5.90536184805457,4.48863636973214,231.444444444444,-0.667168569444444,1.33086488611111,1.99803345555556,0.331848158333333,0.693147180559945
