"","species","vir_pos","massmale_kg","massfemale_kg","habitat_forest","habitat_savanna","habitat_shrubland","habitat_grassland","habitat_wetlands","habitat_rocky.areas","habitat_desert","threat_critical","threat_data_deficient","threat_endangered","threat_least_concern","threat_not_evaluated","threat_near_threatened","threat_vulnerable","population_decreasing","ppoulation_increasing","population_stable","locomotion_arboreal","locomotion_both","locomotion_terrestrial","folivore","folivore_frugivore","frugivore","gummivore","insectivore","omnivore","adult_mass_g","brain_mass_g","adult_body_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","det_inv","det_vend","det_vect","det_vunk","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","habitat_breadth_n","aotidae","atelidae","callitrichidae","cebidae","cercopithecidae","cheirogaleidae","daubentoniidae","galagidae","hominidae","hylobatidae","indriidae","lemuridae","lepilemuridae","lorisidae","pitheciidae","tarsiidae","afrotropical","australasian","indomalayan","neotropical","palearctic","realm_multiple","foraging_stratum_arboreal","foraging_stratum_ground","foraging_stratum_scansorial","activity_cycle_diurnal","activity_cycle_multiple","activity_cycle_nocturnal","body_size_ratio","rel_age_fb_days","rel_sexual_maturity_days","postnatal_growth_rate","mass_specific_production","home_range_scaled_km2_g","wos_hits","hfp_avg","species_avg","max_popdens","min_popdens","mean_popdens","mean_temp","max_temp","min_temp","range_temp","mean_prec","max_prec","min_prec","range_prec","ymin","ymax","range_lat","centroid","ecor_n"
"1","Allenopithecus nigroviridis",0,1.81319474994812,1.15688119679209,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.45318786144033,3.98341300151482,459.995,10019.25,NA,1452.4,NA,1528.34,165.591,1,0.931,470.453,5.39816270151775,106.15,NA,3723.024,0.908258560176891,NA,NA,3.68887945411394,50,0,0,0,50,0,0,0,2,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21.2217194570136,-1.88032606347493,NA,NA,0.0438701492537313,NA,3.04452243772342,1.2731063212763,122.378551650466,5.34162830209883,1.05140221057267,3.12401586565397,251.947368421053,332,180,118.662280701754,1794.79385964912,5.50533153593236,3.46573590279973,144.802631578947,-2.27035728055556,3.78029120277778,6.05064848333333,0.754966961111111,1.6094379124341
"2","Allocebus trichotis",0,-2.3859667019331,-2.47693848013882,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4.35786200767458,1.95444505150515,133.495,3278.917,NA,553.338,NA,650.773,127.009,1,1,333.042,NA,93.138,4.04567939024082,1977.57,-1.34323487165944,2.89037175789616,NA,0,0,0,0,0,50,0,0,50,2,1600,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,-1.61710757684484,NA,NA,NA,NA,2.89037175789616,2.71963980898525,52.9344757927789,4.58108241859444,2.90055740144392,3.740796489339,215.904761904762,303,100,143.142857142857,2190.66666666667,5.98393628068719,2.77258872223978,270.47619047619,-19.2427288583333,-14.3607414527778,4.88198740555556,-16.8017351555556,1.09861228866811
"3","Allochrocebus lhoesti",0,1.94591014905531,1.09861228866811,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,8.45531778769815,4.19720194766181,510,8796.5,NA,1573.692,NA,1699.241,171.085,1,0.875,484.893,NA,324.135,NA,3650,0.90946750652603,1.43508452528932,NA,2.85647020622048,0,0,0,10,50,0,30,10,2,2900,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-1.6441722343207,NA,NA,NA,NA,3.63758615972639,1.45261493832329,141.933363416718,6.2720944139544,1.89095768146578,3.50539417641378,234.427642276423,320,94,123.20162601626,1773.03089430894,5.6970934865054,2.30258509299405,143.827642276423,-4.21581090833333,2.09575256944444,6.31156347777778,-1.06002916944444,1.79175946922805
"4","Allochrocebus preussi",0,1.54756250871601,1.06471073699243,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8.50030844296807,4.16762600241618,527.5,9532.583,NA,1512.88,NA,1636.368,170.352,1,0.875,484.893,NA,310.98,NA,3285,0.934130650002486,NA,NA,1.09861228866811,0,0,0,10,50,0,30,10,2,2500,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-1.76223656800558,NA,NA,NA,NA,1.38629436111989,2.14678145445635,124.295708847046,5.96249251573693,2.47124753175308,4.79609462871938,229.395348837209,339,114,131.325581395349,2351.67441860465,6.20253551718792,2.19722457733622,379.232558139535,3.27532644166667,6.57198243611111,3.29665599444444,4.92365443888889,1.38629436111989
"5","Allochrocebus solatus",0,1.93007108502557,1.36609165380237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.43129864508447,4.18124065478896,523.489,6588.25,1734.301,1734.301,NA,1733.75,171.787,1.005,0.78,547.125,NA,337.064,NA,3910.638,0.896088024556636,3.2188758248682,NA,2.30258509299405,0,0,0,10,50,0,30,10,2,980,4.94875989037817,840,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,-1.33500106673234,-1.3346833090035,NA,NA,NA,2.94443897916644,0.990729383965095,112.230872017997,2.98565203619205,1.02090098236591,1.51559590831503,245.107142857143,321,156,130.660714285714,1777.96428571429,5.96870755998537,1.09861228866811,302.428571428571,-1.85467901944444,-0.0659728027777778,1.78870621666667,-0.960325911111111,1.09861228866811
"6","Alouatta arctoidea",0,1.94591014905531,1.74919985480926,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.59230066390304,4.03184839849649,737.605,9125,1690.22,1672.763,NA,1671.7,190,1.2,0.815,465.356,5.6816050297115,372,NA,3833.157,0.984696764538215,4.1475693234594,-2.30258509299405,2.06686275947298,0,0,0,0,40,0,0,60,2,1160,2.39789527279837,1150,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18.3695726262695,-1.69717682674211,-1.68615920149114,NA,0.0532402152133581,-10.8948857568971,1.09861228866811,2.35616756211781,161.136285287363,7.77001727625859,1.01535730653047,4.50868789187822,257.82096069869,362,127,130.639737991266,1300.30786026201,6.10702288774225,0.693147180559945,206.836244541485,4.94498399166667,11.5601215694444,6.61513757777778,8.25255278055556,2.56494935746154
"7","Alouatta belzebul",1,1.98375629154543,1.708377860289,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8.72549271324286,3.92907675999397,732.69,12841.917,NA,1578.825,NA,1720.065,185.267,1.06,0.707,544.347,NA,369.969,NA,4380,1.05813745610239,1.74676210329732,NA,2.00148000021012,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-2.01035250537425,NA,NA,NA,NA,3.95124371858143,1.55117299020999,138.493578687243,7.32257952953482,0,2.87340712790055,258.817624093698,357,146,138.017289459007,2007.23535973229,6.38012253689976,0.693147180559945,319.704963747909,-10.5234060972222,0.362602397222222,10.8860084944444,-5.08040185,2.484906649788
"8","Alouatta caraya",1,1.85941811770187,1.4655675420144,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8.60566183940385,3.97726752728855,736.58,11826,1276.72,1215.199,928,1354.15,187,1,1,337.579,5.23377884541047,195.2,NA,3750.594,0.992140044157593,4.54339052236763,NA,2.18605127673809,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,29.1333333333333,-2.16712654617894,-2.22600620828984,NA,0.034324942791762,NA,5.66296048013595,1.73795690354736,121.86375700554,7.41054506401257,0.013937210558482,2.50898315830761,241.320530973451,358,73,186.543716814159,1421.92407079646,6.4393503711001,0,220.352920353982,-31.1098967805556,-8.42616541944444,22.6837313611111,-19.7680311,3.09104245335832
"9","Alouatta discolor",0,1.98100146886658,1.70474809223843,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8.74238264843737,3.92907675999397,732.69,12841.917,NA,1570.15,NA,1698.515,185.617,1.063,0.727,525.559,NA,366.905,NA,4015,1.06746555967127,1.74676210329732,NA,2.00148000021012,0,0,0,0,40,0,0,60,2,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-2.02296024628198,NA,NA,NA,NA,1.09861228866811,-0.0166563521613935,143.873562884425,5.82759609974007,0,0.718400644027768,256.648221343874,362,140,159.607707509881,2207.49901185771,6.13122648948314,1.94591014905531,328.866600790514,-10.0184413361111,-0.770344080555556,9.24809725555556,-5.39439270833333,1.94591014905531
"10","Alouatta guariba",0,1.90657514365664,1.47017584510059,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8.55416715174032,3.98803915585117,714.765,5040.042,NA,1529.696,NA,1590.443,181.235,1.042,0.766,507.457,NA,336.199,NA,3738.848,0.963937385341508,3.41519890129797,-3.50655789731998,2.00148000021012,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.15340182160388,NA,NA,NA,-12.0607250490603,4.92725368515721,2.39079861009162,123.77847762495,8.73003613882008,0.456608108024373,4.53883369978611,192.726990049751,330,35,187.735074626866,1498.76430348259,5.93753620508243,1.38629436111989,138.695273631841,-31.272596625,-15.2436857305556,16.0289108944444,-23.2581411777778,2.39789527279837
"11","Alouatta macconnelli",0,1.97408102602201,1.71379792775834,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.76378917197712,4.01803930601203,737.605,9125,1672.763,1672.763,NA,1862.763,190,1.2,0.815,465.356,5.6816050297115,372,NA,4078.689,1.07908962217925,3.09562285636879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,21.8059777792925,-1.58895703011221,-1.69654114918443,NA,0.0448500869760921,NA,2.39789527279837,0.30113678091027,177.571649154062,7.50176865207731,0,1.3634224848365,259.194922547332,360,100,115.849182444062,2330.84315834768,6.42971947803914,1.09861228866811,291.976118760757,-3.35171600277778,10.8398771361111,14.1915931388889,3.74408056666667,2.19722457733622
"12","Alouatta nigerrima",0,NA,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.72549271324286,4.01591444251828,732.69,12841.917,NA,1622.949,NA,1752.804,186.544,1.079,0.72,530.946,NA,363.429,NA,4176.155,1.05813745610239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.99149779482374,NA,NA,NA,NA,0.693147180559945,-0.170762259415702,164.145324583378,4.65218170166111,0,0.953155418624137,265.844408427877,347,160,130.777957860616,2243.04700162075,6.24610676548156,2.39789527279837,268.416531604538,-9.07200443611111,-1.91420335277778,7.15780108333333,-5.49310389444444,1.6094379124341
"13","Alouatta palliata",0,1.94017947434633,1.66392609771817,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.64102721618975,3.91314237869606,745.675,9125,1578.42,1287.443,1278,1382.13,186,1,0.6,533.819,5.91011890765403,433,7.00306545878646,3574.637,1.01160091167848,4.24181584158031,-1.66073120682165,2.21375387928743,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,15.3468203389831,-1.88739211197687,-1.75459355276326,1.09294655113243,0.0390960463957421,-10.3017584230114,6.47543271670409,2.55541493593906,132.538458794586,7.84755165784871,0.484578835747189,4.32140222065559,242.136036036036,366,43,123.792792792793,2596.36126126126,6.88755257166462,0,313.402702702703,-4.45390824166666,18.7169305805556,23.1708388222222,7.13151116944444,3.43398720448515
"14","Alouatta pigra",1,2.01556946508543,1.72419414973229,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9.14697769259899,4.01476008287926,740.97,7300,NA,1598.015,NA,1733.435,187.768,1.005,0.639,591.672,6.17378610390194,434.998,NA,3650,1.28978346073905,3.68965415395651,-1.20397280432594,1.70474809223843,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,19.5542291666667,-1.43776935910899,NA,NA,0.0328417445927618,-10.3509504969249,5.8406416573734,1.89093369212852,104.832052189371,6.97547188065397,0.242793794154052,3.74958739857576,246.93982300885,365,33,165.649557522124,1666.49380530973,6.75925527066369,2.07944154167984,237.640707964602,14.8915000916667,21.6078290361111,6.71632894444445,18.2496645638889,2.484906649788
"15","Alouatta sara",0,NA,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8.7750480731135,4.04140078372768,737.605,9125,1672.763,1672.763,NA,1862.763,190,1.2,0.815,465.356,5.6816050297115,372,NA,4084.331,1.08518926833597,3.06287677118332,NA,NA,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,22.0528764228751,-1.58895703011221,-1.69654114918443,NA,0.0443479563049443,NA,1.79175946922805,1.16435821961976,160.416923956639,6.45867028626231,0.231600328440987,1.86903452303529,249.580046403712,345,20,165.460556844548,1874.89211136891,6.4393503711001,1.6094379124341,252.865429234339,-18.4500631527778,-9.68708921388889,8.76297393888889,-14.0685761833333,2.07944154167984
"16","Alouatta seniculus",1,1.8961194845523,1.64480505627139,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.76378917197712,4.03184839849649,737.605,9125,1690.22,1672.763,NA,1671.7,190,1.2,0.815,465.356,5.6816050297115,372,NA,3833.157,1.07908962217925,4.1475693234594,-2.30258509299405,2.06686275947298,0,0,0,0,40,0,0,60,2,NA,NA,NA,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21.8059777792925,-1.69717682674211,-1.68615920149114,NA,0.0448500869760921,-11.0663742649712,5.4553211153577,0.980507284348617,175.517072073134,7.85838563388242,0,3.09193665095757,248.472116383789,362,-20,120.288188430897,2604.40232074818,6.67708346124714,0,203.908555594042,-14.3865353305556,11.7158769083333,26.1024122388889,-1.33532921111111,1.94591014905531
"17","Alouatta ululata",0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8.80718758838389,3.92907675999397,732.69,12841.917,NA,1565.348,NA,1702.942,185.275,1.058,0.709,534.29,NA,382.094,NA,4015,1.10293626014816,1.74676210329732,NA,2.00148000021012,0,0,0,0,40,0,0,60,2,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-2.02035724262817,NA,NA,NA,NA,1.38629436111989,2.22626075375413,108.164800537109,5.74536414148986,1.00689138935184,3.69716790301258,266.574803149606,360,155,135.803149606299,1417.82677165354,5.95842469302978,0,312.377952755906,-5.218795925,-2.33881026388889,2.87998566111111,-3.77880309444444,1.6094379124341
"18","Aotus azarae",0,0.165514438477573,0.207014169384326,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7.11476944836646,3.03013370027132,370,10950,NA,1037.912,NA,1128.47,154.945,1,1,364.75,NA,234,NA,3383.337,0.172271220940453,3.26964498191977,NA,1.41098697371026,20,0,0,10,20,10,20,20,4,2000,4.26267987704132,1930,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,-2.27247672330143,NA,NA,NA,NA,4.46590811865458,1.07484345113674,130.440192475133,6.4627945249106,0,1.54050659674717,250.301166001841,362,45,174.967321264191,1684.45136544952,6.61740297797448,0,260.577784596502,-27.2179974527778,0.838797063888889,28.0567945166667,-13.1896001944444,2.99573227355399
"19","Aotus brumbacki",0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,6.68461172766793,2.82861455050231,337.5,12337,755.15,755.15,NA,889.981,134.831,1,1,364.75,4.58496747867057,76.09,NA,2920,-0.0640053299759124,0.405465108108164,NA,NA,20,0,0,10,20,10,20,20,4,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8.16326530612245,-2.62915804188776,-2.79344175105911,NA,0.1225,NA,0.693147180559945,1.52734009719252,171.221299424683,5.73851683645879,0.563021513311693,2.82914810959666,259.067796610169,354,85,126.022598870056,2696.50282485876,6.53813982376767,1.38629436111989,352.638418079096,2.36361206944444,7.08389170277778,4.72027963333333,4.72375188611111,0.693147180559945
"20","Aotus griseimembra",0,-2.30258509299405,-0.0801260444792849,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6.87316383421252,2.82861455050231,337.5,12337,755.15,755.15,NA,889.981,134.831,1,1,364.75,4.58496747867057,76.09,NA,2920,0.0392207131532813,0.405465108108164,NA,NA,20,0,0,10,20,10,20,20,4,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9.85714285714286,-2.62915804188776,-2.79344175105911,NA,0.101449275362319,NA,1.6094379124341,2.32615049622945,160.739528929788,7.84755165784871,2.34839226049408,4.42130208880069,250.836104513064,359,36,121.083135391924,2225.87410926366,6.53233429222235,0,277.254156769596,1.82392478055555,11.4738112861111,9.64988650555556,6.64886803333333,1.38629436111989
"21","Aotus jorgehernandezi",0,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.7719355558396,2.84485124259436,361.736,6245.163,NA,773.318,NA,851.09,145.437,1.075,1.278,295.402,NA,129.772,NA,2864.267,-0.0161293819298836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,-1.99304464218652,NA,NA,NA,NA,0,1.73905742029454,162.15131632487,3.34840633330702,2.27251207852044,2.99744931970434,249.666666666667,312,183,103,6112.33333333333,6.76849321164863,5.51745289646471,339.666666666667,4.89835659722222,5.24756601944444,0.349209422222223,5.07296130833333,0.693147180559945
"22","Aotus lemurinus",0,-0.0822952427268302,-0.151986356997882,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,6.72982407048948,2.82861455050231,337.5,12337,755.15,755.15,NA,889.981,134.831,1,1,364.75,4.58496747867057,76.09,NA,2920,-0.0397808700118446,0.405465108108164,NA,NA,20,0,0,10,20,10,20,20,4,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8.54081632653061,-2.62915804188776,-2.79344175105911,NA,0.117084826762246,NA,4.38202663467388,2.12892927902707,169.90835434844,7.85838563388242,1.69672576906775,4.8524110281003,163.19395465995,320,16,112.108312342569,2054.4483627204,6.62936325343745,2.77258872223978,184.07556675063,-4.68208485277778,8.39541118055556,13.0774960333333,1.85666316388889,2.39789527279837
"23","Aotus miconax",0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,6.68461172766793,2.88026530374528,370,7426.947,NA,774.113,NA,876.957,145.748,1.037,1.171,316.458,NA,124.663,NA,2920,-0.0640053299759124,NA,NA,NA,20,0,0,10,20,10,20,20,4,2400,6.68586094706836,1600,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,-2.13641219113552,NA,NA,NA,NA,1.6094379124341,1.30174769285182,153.894896104601,4.22511269983162,0.658157356985967,3.01281181918085,188.355555555556,290,42,144.955555555556,1144.62222222222,5.23110861685459,2.83321334405622,90.9111111111111,-9.41030106388889,-5.21681178055556,4.19348928333333,-7.31355642222222,1.09861228866811
"24","Aotus nancymaae",0,-0.229413164327805,-0.2484613592985,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6.67333589372355,2.88424189752063,370,4157.958,NA,803.305,NA,850.322,146.768,1.02,1.293,292.448,NA,133.696,NA,2836.429,-0.0704224642965458,3.56671182013973,NA,1.38629436111989,20,0,0,10,20,10,20,20,4,1000,4.11087386417331,940,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,-1.58716426607858,NA,NA,NA,NA,5.31811999384422,0.157931905041752,185.853206378709,4.90462940602327,0.000127423206699986,1.32387524681669,258.901252763449,339,110,122.379513633014,2385.99484156227,5.88887795833288,3.68887945411394,169.583640383198,-8.41624469722222,-2.44694613611111,5.96929856111111,-5.43159541666667,2.19722457733622
"25","Aotus nigriceps",0,-0.133531392624523,0.0392207131532813,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.96318998587024,2.85474458025301,363.995,1974.042,NA,792.264,NA,828.105,143.954,1.086,1.318,291.912,NA,128.467,NA,2806.696,0.0889262091944015,3.04242500154597,NA,1.19392246847243,20,0,0,10,20,10,20,20,4,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,-0.868698538423276,NA,NA,NA,NA,2.89037175789616,0.198246008518569,171.837991501159,6.35306856159793,0,0.979188565252254,256.801172332943,346,82,141.499413833529,2178.50105509965,6.4393503711001,0,265.815240328253,-13.8329590305556,-1.94991795277778,11.8830410777778,-7.89143849166667,2.56494935746154
"26","Aotus trivirgatus",0,-0.207024169434327,-0.306525160253261,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.77191264606973,2.84426964434602,363.995,10986.5,736.6,821,730,883.3,142,1.06,1.34,269.815,4.5128355747853,77,5.88610403145016,3559.188,-0.0161293819298836,3.19335286763712,-3.91202300542815,1.14740245283754,20,0,0,10,20,10,20,20,4,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9.5742487387585,-2.52075763158624,-2.70237752132636,1.37326845666486,0.148356287658366,-10.6839356514979,6.05208916892442,-0.52586735028883,176.078675769258,7.50176865207731,0,1.33772760943115,261.922921914358,360,125,117.631738035264,2432.79294710327,6.41017488196617,1.38629436111989,291.188916876574,-3.24854049166667,7.80909649722222,11.0576369888889,2.28027800277778,2.39789527279837
"27","Aotus vociferans",0,-0.345311185288417,-0.359536176219765,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6.77192982844634,2.87356463957978,370,8066.5,NA,800.532,NA,909.635,145.956,1.02,1.116,336.983,NA,127.892,NA,2995.686,-0.0161293819298836,2.97102966091362,NA,1.19392246847243,20,0,0,10,20,10,20,20,4,1550,0,1550,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,-2.18243154195808,NA,NA,NA,NA,3.73766961828337,-0.0134910618780854,173.869296626651,6.80296609259768,0,1.2729825286427,258.861101723555,357,115,110.433254477864,2879.35586346739,6.21660610108486,3.2188758248682,174.768164920581,-5.55709255277778,2.87849755277778,8.43559010555555,-1.3392975,2.63905732961526
"28","Aotus zonalis",0,-0.117658043468232,-0.0877389143080067,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.80516869020704,2.82861455050231,337.5,12337,755.15,755.15,NA,889.981,134.831,1,1,364.75,4.58496747867057,76.09,NA,2920,0.00199800266267306,0.405465108108164,NA,NA,20,0,0,10,20,10,20,20,4,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9.20918367346939,-2.62915804188776,-2.79344175105911,NA,0.108587257617729,NA,1.38629436111989,2.42273740904523,155.789712741051,7.86196526524984,0.844064040946288,4.23722471534167,245.714285714286,334,85,101.34693877551,3978.77259475219,6.88755257166462,1.09861228866811,321.810495626822,2.20289636944444,9.63252524166667,7.42962887222222,5.91771080555556,2.39789527279837
"29","Arctocebus aureus",0,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.55101972010379,1.73835869250094,272.495,4745,284.455,298.91,270,432.65,133.74,1,1.5,140.639,3.39081028877567,112.309,5.07517381523383,1739.996,-0.687165108882398,1.50407739677627,NA,NA,70,0,0,0,30,0,0,0,2,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8.67295385651735,-2.39491762399128,-2.81427164222018,1.68436352645816,0.17295145631068,NA,0.693147180559945,1.29126027498866,132.125037148929,7.53155970821592,0.807882933036908,2.84532321172208,243.249062667381,350,149,125.517943224424,1761.7262988752,6.29710931993394,0,260.259239421532,-4.30112911944444,5.23268493611111,9.53381405555556,0.465777908333333,1.79175946922805
"30","Arctocebus calabarensis",0,-1.16475209117265,-1.18417017702976,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.55200952135101,1.95444505150515,272.495,4745,298.91,298.91,270,417.92,133.74,1,1.5,140.639,3.39081028877567,112.309,5.07517381523383,1672.773,-0.687165108882398,1.82454929205105,NA,0,70,0,0,0,30,0,0,0,2,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8.68154260693836,-2.42955668439602,-2.76470418630842,1.68436352645816,0.172780353436403,NA,1.6094379124341,2.40552282147004,111.510038286097,7.53537080217878,2.13568561299495,5.81403851395155,254.881019830028,358,114,122.235127478754,2317.60056657224,6.45362499889269,0.693147180559945,361.43059490085,3.53822558055556,8.00949508611111,4.47126950555556,5.77386033333333,2.19722457733622
